Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Agrarna ekonomika;magister agrarne ekonomike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agrarna ekonomika;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agrarna ekonomika in razvoj podeželja;diplomirani inženir agrarne ekonomike (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agrikultura in okolje;diplomirani inženir kmetijstva (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agronomija;diplomirani inženir agronomije;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agronomija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agronomija;magister inženir agronomije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0810";Kmetijstvo, podrobneje neopredeljeno;Agriculture not further defined;
Agronomija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Agronomija - okrasne rastline, zelenjava in poljšèine;diplomirani inženir agronomije (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0888";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno kmetijstvo, gozdarstvo, ribištvo in veterinarstvo;Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary;
Aktuarstvo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0542";Statistika;Statistics;
Aktuarstvo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0542";Statistika;Statistics;
Alternativno reševanje sporov;magister alternativnega reševanja sporov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0421";Pravo;Law;
Ameriške študije;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Ameriške študije;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Analitska politologija;diplomirani politolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Analitska sociologija;diplomirani sociolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Analiza evropske socialne politike;magister sociologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Andragogika;magister profesor andragogike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0111";Izobraževalne znanosti;Education science;
Andragogika;magister profesor andragogike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0111";Izobraževalne znanosti;Education science;
Andragogika;specialist andragogike;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0111";Izobraževalne znanosti;Education science;
Anglešèina;predmetni uèitelj za anglešèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Anglešèina in francošèina;predmetni uèitelj za anglešèino in francošèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Anglešèina in nemšèina;predmetni uèitelj za anglešèino in nemšèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Anglešèina in rušèina;predmetni uèitelj za anglešèino in rušèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Angleški jezik in književnost;diplomirani anglist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Angleški jezik in književnost;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Angleški jezik in književnost;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Angleški jezik s književnostjo;anglist;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Angleški jezik s književnostjo;predmetni uèitelj anglešèine;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Angleški jezik s književnostjo in ...;profesor anglešèine in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Angleški jezik s književnostjo in knjižnièarstvom;predmetni uèitelj angleškega jezika s književnostjo in knjižnièarstvom;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Angleški jezik s književnostjo in slovenski jezik s književnostjo;predmetni uèitelj angleškega jezika s književnostjo in slovenskega jezika s književnostjo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Anglistika;diplomirani anglist (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Anglistika;diplomirani anglist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Anglistika;magister anglistike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Anglistika;magister anglistike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Anglistika;magister profesor anglistike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Anglistika;magister profesor anglistike in …;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Antièni in humanistièni študiji;diplomant antiènih in humanistiènih študij (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Antièni in humanistièni študiji;magister antiènih in humanistiènih študijev;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Antropologija;diplomirani antropolog (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Antropologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Antropologija;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Antropologija;magister antropologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Antropologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Antropologija vsakdanjega življenja;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0314";Sociologija in študiji kultur;Sociology and cultural studies;
Aplikativna elektrotehnika;diplomirani inženir elektrotehnike (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0714";Elektronika in avtomatizacija;Electronics and automation;
Aplikativna kineziologija;diplomirani kineziolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0588";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno naravoslovje, matematika in statistika;Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics;
Aplikativna kineziologija;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="1014";Šport;Sports;
Aplikativna kineziologija;magister kineziologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0588";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno naravoslovje, matematika in statistika;Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics;
Apreter (tekstilij);apreter (tekstilij);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Aranžerski tehnik;aranžerski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Arheologija;arheolog;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;diplomirani arheolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;diplomirani arheolog (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;magister arheologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0222";Zgodovina in arheologija;History and archaeology;
Arheologija;univerzitetni diplomirani arheolog;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0222";Zgodovina in arheologija;History and archaeology;
Arheološka dedišèina Sredozemlja;magister arheologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Arhitektonski tehnik (USP);arhitektonski tehnik;;35000;Peta raven: Aktivnosti/izidi, dopolnilno izobraževanje;Fifth level: Activities/Achievements, supplementary education;="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;diplomirani inženir arhitekture (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;magister inženir arhitekture;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;specialist;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhitektura;univerzitetni diplomirani inženir arhitekture;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0731";Arhitektura, prostorsko naèrtovanje in urbanizem;Architecture and town planning;
Arhivistika;diplomirani arhivist (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Arhivistika in dokumentologija;magister arhivistike in dokumentologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Arhivske znanosti;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Asfaltiranje (USO II);polagalec asfalta;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Avtoelektrikar;avtoelektrikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtokaroserist;avtokaroserist;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtoklepar;avtoklepar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtoklepar;avtolièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtolièar;avtolièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtolièarstvo;avtolièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtomehanik;avtomehanik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtomehaniški delovodja;avtomehaniški delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtomehanski delovodja;avtomehanski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtomobilski klepar;avtomobilski klepar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtoserviser;avtoserviser;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtoservisni menedžment;avtoservisni inženir;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Avtoservisni tehnik;avtoservisni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Babica - medicinska sestra;babica - medicinska sestra;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0913";Zdravstvena nega in babištvo;Nursing and midwifery;
Babištvo;diplomirani babièar;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0913";Zdravstvena nega in babištvo;Nursing and midwifery;
Babištvo;diplomirani babièar (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0913";Zdravstvena nega in babištvo;Nursing and midwifery;
Balet;uèitelj baleta;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Balet;višji baletni plesalec;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0215";;;
